TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-05-11,2026-05-11,CM,NSE,STK,19078,IN0020200104,SGBJUN28,GB,,,,,2.5%GOLDBONDS2028SR-III,15119.43,15189.00,15020.00,15066.66,15065.00,15120.03,,15025.73,,,50,752186.85,20,F1,1,,,,,
2026-05-11,2026-05-11,CM,NSE,STK,1342,IN0020200286,SGBN28VIII,GB,,,,,2.5%GOLDBONDS2028SR-VIII,15101.20,15135.00,15025.00,15035.71,15025.00,15190.00,,15036.63,,,257,3876144.40,83,F1,1,,,,,
2026-05-11,2026-05-11,CM,NSE,STK,3742,IN0020210053,SGBMAY29I,GB,,,,,2.5%GOLDBONDS2029SR-I,15120.00,15120.00,15036.80,15082.85,15070.00,15186.20,,15082.34,,,384,5788585.37,80,F1,1,,,,,
2026-05-11,2026-05-11,CM,NSE,STK,3743,IN0020210061,SGBJUN29II,GB,,,,,2.5%GOLDBONDS2029SR-II,15163.05,15498.00,15012.00,15066.45,15066.45,15163.05,,15066.45,,,291,4386468.30,54,F1,1,,,,,
2026-05-11,2026-05-11,CM,NSE,STK,3800,IN0020210087,SGBJU29III,GB,,,,,2.5%GOLDBONDS2029SR-III,15051.00,15140.00,15051.00,15070.00,15070.00,15170.00,,15070.00,,,155,2338194.20,54,F1,1,,,,,
2026-05-11,2026-05-11,CM,NSE,STK,5575,IN0020210145,SGBSEP29VI,GB,,,,,2.5%GOLDBONDS2029SR-VI,15201.20,15201.20,15025.00,15087.87,15080.00,15276.36,,15087.87,,,705,10651538.28,132,F1,1,,,,,
2026-05-11,2026-05-11,CM,NSE,STK,6518,IN0020210178,SGBNV29VII,GB,,,,,2.5%GOLDBONDS2029SR-VII,15050.00,15179.99,15032.01,15100.16,15100.00,15194.00,,15092.87,,,340,5123333.09,64,F1,1,,,,,
2026-05-11,2026-05-11,CM,NSE,STK,5960,IN0020180249,SGBOCT26,GB,,,,,2.50%GOLDBONDS2026SR-II,15050.00,15050.00,15050.00,15050.00,15050.00,15110.00,,15035.00,,,15,225750.00,8,F1,1,,,,,
2026-05-11,2026-05-11,CM,NSE,STK,6355,IN0020180314,SGBNOV26,GB,,,,,2.50%GOLDBONDS2026SR-III,15000.00,15000.00,15000.00,15000.00,15000.00,15069.12,,15000.00,,,1,15000.00,1,F1,1,,,,,
2026-05-11,2026-05-11,CM,NSE,STK,7654,IN0020180389,SGBDEC26,GB,,,,,2.50%GOLDBONDS2026SR-IV,15198.90,15198.90,15198.90,15198.90,15198.90,15270.00,,15198.90,,,10,151989.00,1,F1,1,,,,,
2026-05-11,2026-05-11,CM,NSE,STK,10261,IN0020190073,SGBJUN27,GB,,,,,2.50%GOLDBONDS2027SR-I,15002.00,15002.00,15002.00,15002.00,15002.00,15106.00,,15002.00,,,4,60008.00,1,F1,1,,,,,
2026-05-11,2026-05-11,CM,NSE,STK,11154,IN0020190081,SGBJUL27,GB,,,,,2.50%GOLDBONDS2027SR-II,15066.03,15134.90,15000.00,15000.00,15000.00,15066.03,,15000.58,,,12,180806.56,4,F1,1,,,,,
2026-05-11,2026-05-11,CM,NSE,STK,12904,IN0020190107,SGBAUG27,GB,,,,,2.50%GOLDBONDS2027SR-III,15145.30,15145.30,15000.00,15000.25,15000.00,15100.00,,15000.25,,,91,1367620.75,27,F1,1,,,,,
2026-05-11,2026-05-11,CM,NSE,STK,13981,IN0020190370,SGBOCT27,GB,,,,,2.50%GOLDBONDS2027SR-V,15070.00,15299.99,14701.00,14758.62,14701.00,15100.00,,14758.62,,,47,696999.19,9,F1,1,,,,,
2026-05-11,2026-05-11,CM,NSE,STK,15432,IN0020190461,SGBDC27VII,GB,,,,,2.50%GOLDBONDS2027SR-VII,15099.00,15099.00,15001.00,15005.00,15005.00,15120.00,,15005.00,,,17,255861.99,7,F1,1,,,,,
2026-05-11,2026-05-11,CM,NSE,STK,18862,IN0020200062,SGBAPR28I,GB,,,,,2.50%GOLDBONDS2028SR-I,15124.12,15124.12,14980.00,15010.02,14980.00,15124.12,,15013.93,,,528,7936397.91,105,F1,1,,,,,
2026-05-11,2026-05-11,CM,NSE,STK,18972,IN0020200088,SGBMAY28,GB,,,,,2.50%GOLDBONDS2028SR-II,15170.05,15170.05,15020.00,15041.57,15043.00,15170.05,,15043.09,,,226,3400973.96,36,F1,1,,,,,
2026-05-11,2026-05-11,CM,NSE,STK,22242,IN0020200146,SGBJUL28IV,GB,,,,,2.50%GOLDBONDS2028SR-IV,15050.67,15120.00,14980.00,15001.10,14980.00,15126.30,,15001.12,,,364,5464226.59,55,F1,1,,,,,
2026-05-11,2026-05-11,CM,NSE,STK,17664,IN0020190545,SGBFEB28IX,GB,,,,,2.50%GOLDBONDS2028SR-IX,15099.99,15100.00,14994.00,15000.11,15000.11,15101.16,,15008.33,,,54,814343.02,20,F1,1,,,,,
2026-05-11,2026-05-11,CM,NSE,STK,22385,IN0020200161,SGBAUG28V,GB,,,,,2.50%GOLDBONDS2028SR-V,15149.00,15149.00,15000.00,15015.46,15000.00,15149.81,,15015.70,,,1871,28126136.60,199,F1,1,,,,,
2026-05-11,2026-05-11,CM,NSE,STK,149,IN0020200195,SGBSEP28VI,GB,,,,,2.50%GOLDBONDS2028SR-VI,14999.00,15110.00,14999.00,15019.33,15000.00,15113.20,,15007.24,,,177,2661678.53,51,F1,1,,,,,
2026-05-11,2026-05-11,CM,NSE,STK,834,IN0020200203,SGBOC28VII,GB,,,,,2.50%GOLDBONDS2028SR-VII,15100.00,15200.00,15000.01,15050.00,15050.00,15115.16,,15051.22,,,257,3879263.78,44,F1,1,,,,,
2026-05-11,2026-05-11,CM,NSE,STK,18451,IN0020190552,SGBMAR28X,GB,,,,,2.50%GOLDBONDS2028SR-X,15081.00,15094.99,14955.00,14960.30,14960.30,15080.05,,15042.65,,,48,721020.34,12,F1,1,,,,,
2026-05-11,2026-05-11,CM,NSE,STK,5113,IN0020210111,SGBJUL29IV,GB,,,,,2.50%GOLDBONDS2029SR-IV,15015.02,15099.00,15015.02,15070.00,15070.00,15171.00,,15052.69,,,295,4442097.94,35,F1,1,,,,,
2026-05-11,2026-05-11,CM,NSE,STK,1920,IN0020200377,SGBJAN29IX,GB,,,,,2.50%GOLDBONDS2029SR-IX,15110.00,15110.00,15002.15,15010.11,15002.15,15145.00,,15011.10,,,112,1684320.88,37,F1,1,,,,,
2026-05-11,2026-05-11,CM,NSE,STK,5455,IN0020210129,SGBAUG29V,GB,,,,,2.50%GOLDBONDS2029SR-V,15173.42,15399.00,15012.00,15120.99,15110.00,15170.02,,15122.42,,,228,3450362.74,57,F1,1,,,,,
2026-05-11,2026-05-11,CM,NSE,STK,7098,IN0020210228,SGBD29VIII,GB,,,,,2.50%GOLDBONDS2029SR-VIII,15021.01,15198.00,14979.73,15109.17,15080.00,15247.00,,15109.37,,,540,8134834.79,140,F1,1,,,,,
2026-05-11,2026-05-11,CM,NSE,STK,2003,IN0020200385,SGBJAN29X,GB,,,,,2.50%GOLDBONDS2029SR-X,15026.30,15080.00,15011.00,15017.00,15011.00,15158.40,,15017.00,,,157,2364412.00,18,F1,1,,,,,
2026-05-11,2026-05-11,CM,NSE,STK,2200,IN0020200393,SGBFEB29XI,GB,,,,,2.50%GOLDBONDS2029SR-XI,15100.00,15100.00,15010.01,15025.04,15020.00,15177.94,,15025.04,,,207,3116418.63,33,F1,1,,,,,
2026-05-11,2026-05-11,CM,NSE,STK,2810,IN0020200427,SGBMR29XII,GB,,,,,2.50%GOLDBONDS2029SR-XII,15050.00,15079.99,15005.01,15027.68,15020.00,15135.68,,15027.68,,,179,2690263.98,66,F1,1,,,,,
2026-05-11,2026-05-11,CM,NSE,STK,10232,IN0020220045,SGBJUN30,GB,,,,,2.50%GOLDBONDS2030SR-I,15290.00,15376.50,15111.00,15261.27,15250.00,15295.82,,15248.37,,,289,4406430.32,79,F1,1,,,,,
